Date,data,median,LB,UB
1/1/20,14.16,14.27,13.98,14.55
2/1/20,14.31,14.48,14.18,14.75
3/1/20,14.49,14.68,14.41,14.95
4/1/20,14.87,14.88,14.59,15.16
5/1/20,15.26,15.09,14.81,15.36
6/1/20,15.48,15.29,15.01,15.58
7/1/20,15.68,15.5,15.23,15.79
8/1/20,15.71,15.7,15.44,15.97
9/1/20,15.9,15.81,15.56,16.09
10/1/20,15.92,15.92,15.64,16.21
11/1/20,16,16.02,15.75,16.31
12/1/20,16.02,16.13,15.85,16.42
1/1/21,16.23,16.24,15.98,16.51
2/1/21,16.39,16.34,16.06,16.62
3/1/21,16.59,16.45,16.19,16.75
4/1/21,16.55,16.56,16.29,16.83
5/1/21,16.54,16.67,16.36,16.93
6/1/21,16.61,16.77,16.5,17.05
7/1/21,16.7,16.88,16.59,17.16
8/1/21,16.91,16.99,16.69,17.25
9/1/21,17.1,17.09,16.83,17.37
10/1/21,17.37,17.2,16.92,17.49
11/1/21,17.4,17.31,17.03,17.58
12/1/21,17.5,17.36,17.07,17.67
1/1/22,17.49,17.41,17.13,17.73
2/1/22,17.47,17.42,17.12,17.71
3/1/22,17.48,17.43,17.14,17.7
4/1/22,17.52,17.44,17.16,17.76
5/1/22,17.39,17.45,17.16,17.71
6/1/22,17.43,17.46,17.19,17.74
7/1/22,17.4,17.47,17.21,17.76
8/1/22,17.35,17.48,17.18,17.77
9/1/22,17.27,17.49,17.21,17.8
10/1/22,17.35,17.5,17.22,17.77
11/1/22,17.46,17.51,17.24,17.78
12/1/22,17.59,17.52,17.24,17.81
1/1/23,17.63,17.53,17.26,17.82
2/1/23,17.66,17.54,17.26,17.83
3/1/23,17.54,17.55,17.27,17.83
4/1/23,17.55,17.56,17.28,17.85
5/1/23,17.66,17.57,17.3,17.85
6/1/23,17.52,17.5,17.21,17.78
7/1/23,17.37,17.43,17.14,17.71
8/1/23,17.24,17.21,16.94,17.5
9/1/23,17.07,16.99,16.71,17.3
10/1/23,16.77,16.78,16.5,17.06
11/1/23,16.53,16.56,16.28,16.86
12/1/23,16.22,16.23,15.94,16.52
1/1/24,15.92,15.9,15.6,16.17
2/1/24,15.64,15.51,15.23,15.79
3/1/24,15.31,15.11,14.84,15.38
4/1/24,14.89,14.71,14.43,14.98
5/1/24,14.39,14.31,14.04,14.61
6/1/24,14.03,13.91,13.64,14.19
7/1/24,13.7,13.52,13.26,13.8
8/1/24,13.22,13.12,12.83,13.4
9/1/24,12.79,12.8,12.51,13.08
10/1/24,12.38,12.48,12.2,12.75
11/1/24,11.95,12.17,11.89,12.46
12/1/24,11.54,11.85,11.55,12.11
1/1/25,11.16,11.53,11.25,11.82
2/1/25,10.86,11.21,10.93,11.5
3/1/25,10.61,10.9,10.61,11.22
4/1/25,10.37,10.58,10.28,10.89
5/1/25,10.17,10.26,9.99,10.55
6/1/25,9.99,9.94,9.66,10.22
7/1/25,9.73,9.63,9.34,9.9
8/1/25,9.52,9.31,9.03,9.62
9/1/25,9.29,8.99,8.72,9.27
10/1/25,8.97,8.67,8.42,8.97
11/1/25,NA,8.36,8.07,8.65
12/1/25,NA,8.04,7.72,8.32
1/1/26,NA,7.72,7.4,8.02
2/1/26,NA,7.4,7.1,7.74
3/1/26,NA,7.08,6.69,7.49
4/1/26,NA,6.77,6.29,7.27
5/1/26,NA,6.45,5.88,7.03
6/1/26,NA,6.13,5.5,6.87
7/1/26,NA,5.81,5.04,6.68
8/1/26,NA,5.5,4.67,6.45
9/1/26,NA,5.18,4.3,6.33
10/1/26,NA,4.86,3.78,6.06
