Date,data,median,LB,UB
1/1/20,14.165,12.165,12.165,12.165
2/1/20,14.315,13.01380699,12.29949207,13.72635142
3/1/20,14.493,14.20527335,13.53693098,14.87963273
4/1/20,14.867,14.87176924,14.21735989,15.53255816
5/1/20,15.259,15.3110259,14.6681938,15.9639575
6/1/20,15.485,15.62247837,14.98298961,16.25864845
7/1/20,15.679,15.83659094,15.18931839,16.46236605
8/1/20,15.71,15.99237241,15.33729071,16.64936449
9/1/20,15.901,16.12560144,15.48486364,16.7625831
10/1/20,15.922,16.21633708,15.58506645,16.84271632
11/1/20,15.997,16.27904671,15.65182955,16.91558799
12/1/20,16.016,16.34380916,15.72280845,16.99724365
1/1/21,16.234,16.3985211,15.77400125,17.04326118
2/1/21,16.394,16.44531062,15.79283659,17.07858541
3/1/21,16.586,16.48445619,15.83088521,17.12216749
4/1/21,16.547,16.52008368,15.88281296,17.14917002
5/1/21,16.535,16.56705321,15.91622727,17.19125327
6/1/21,16.611,16.60267921,15.97631457,17.23650015
7/1/21,16.705,16.65877522,16.03109275,17.28295335
8/1/21,16.912,16.7308448,16.1111746,17.38283212
9/1/21,17.105,16.80465894,16.17820298,17.42746233
10/1/21,17.367,16.87406718,16.24752001,17.50637643
11/1/21,17.398,16.96193616,16.3293003,17.58250796
12/1/21,17.504,17.0466981,16.4238249,17.68044002
1/1/22,17.494,17.12725482,16.48131599,17.7530795
2/1/22,17.468,17.23035436,16.59203741,17.84360042
3/1/22,17.477,17.29876877,16.68437283,17.92461984
4/1/22,17.522,17.39706703,16.77885291,18.01340303
5/1/22,17.394,17.47955632,16.83181178,18.11648682
6/1/22,17.434,17.5453407,16.92241676,18.15789784
7/1/22,17.401,17.61208737,16.99606547,18.25523886
8/1/22,17.353,17.68682039,17.04041332,18.31115918
9/1/22,17.268,17.7420189,17.10635873,18.38422931
10/1/22,17.35,17.75809986,17.13727555,18.39499058
11/1/22,17.464,17.77907639,17.14614175,18.40293293
12/1/22,17.589,17.7909555,17.17440089,18.40917476
1/1/23,17.628,17.78147896,17.12880455,18.40414915
2/1/23,17.658,17.73809415,17.10922177,18.36082543
3/1/23,17.535,17.66582623,17.04457334,18.32480289
4/1/23,17.545,17.59153822,16.96483844,18.21950659
5/1/23,17.659,17.50324569,16.85673023,18.13704791
6/1/23,17.522,17.37339619,16.76182494,17.9900577
7/1/23,17.369,17.23238632,16.61386679,17.86583437
8/1/23,17.237,17.0547403,16.41641588,17.68954098
9/1/23,17.071,16.85328357,16.23050492,17.48248239
10/1/23,16.766,16.61648564,16.00180757,17.26285591
11/1/23,16.527,16.36613374,15.75489485,16.98452741
12/1/23,16.215,16.10357336,15.47617926,16.71872049
1/1/24,15.92,15.846622,15.21413035,16.47486625
2/1/24,15.644,15.54984262,14.92049657,16.17814841
3/1/24,15.315,15.21995381,14.59222283,15.84726254
4/1/24,14.889,14.87624267,14.23971596,15.50755488
5/1/24,14.387,14.51098907,13.88862168,15.15581856
6/1/24,14.025,14.15437607,13.53493226,14.77522397
7/1/24,13.698,13.82739456,13.19675447,14.46513296
8/1/24,13.218,13.44187107,12.80759146,14.07959345
9/1/24,12.79,13.06670215,12.44104777,13.70029797
10/1/24,12.381,12.66748338,12.04915918,13.31967954
11/1/24,11.948,12.2849521,11.64693126,12.91655401
12/1/24,11.535,11.90098372,11.27555501,12.53896432
1/1/25,11.163,11.53298832,10.91024836,12.1735355
2/1/25,10.857,11.16275656,10.54566467,11.77912877
3/1/25,10.614,10.81139188,10.16539341,11.44995479
4/1/25,10.366,10.44061612,9.794043436,11.07123839
5/1/25,10.172,10.09663646,9.468618203,10.72069454
6/1/25,9.993,9.751870999,9.104105727,10.38587331
7/1/25,9.73,9.416085182,8.757514401,10.04761562
8/1/25,9.521,9.08462712,8.44032762,9.717335298
9/1/25,9.287,8.776963363,8.112598219,9.403425402
10/1/25,8.968,8.468592942,7.825809221,9.101520769
11/1/25,NaN,8.182132923,7.533661512,8.84545597
12/1/25,NaN,7.888411319,7.234012552,8.516352756
1/1/26,NaN,7.610357858,6.951000829,8.244647963
2/1/26,NaN,7.338642216,6.685370914,8.015393042
3/1/26,NaN,7.087377277,6.435697488,7.741066626
4/1/26,NaN,6.850146931,6.203832459,7.501225627
5/1/26,NaN,6.626877919,5.962934269,7.248787305
6/1/26,NaN,6.402098868,5.742089662,7.060600415
7/1/26,NaN,6.183309946,5.511530095,6.848646314
8/1/26,NaN,5.970472745,5.301635941,6.607873434
9/1/26,NaN,5.772846364,5.1211481,6.435445829
10/1/26,NaN,5.590001812,4.914993372,6.23890041
