Date,data,median,LB,UB
1/1/20,26.21,NA,NA,NA
2/1/20,26.74,NA,NA,NA
3/1/20,27.39,NA,NA,NA
4/1/20,28.37,NA,NA,NA
5/1/20,30.02,NA,NA,NA
6/1/20,31.05,NA,NA,NA
7/1/20,32.15,NA,NA,NA
8/1/20,33.13,NA,NA,NA
9/1/20,33.89,NA,NA,NA
10/1/20,34.38,NA,NA,NA
11/1/20,34.92,NA,NA,NA
12/1/20,35.58,NA,NA,NA
1/1/21,36.61,NA,NA,NA
2/1/21,37.27,NA,NA,NA
3/1/21,38.21,NA,NA,NA
4/1/21,38.96,NA,NA,NA
5/1/21,38.8,NA,NA,NA
6/1/21,39.19,NA,NA,NA
7/1/21,39.47,NA,NA,NA
8/1/21,39.81,NA,NA,NA
9/1/21,40.41,NA,NA,NA
10/1/21,40.99,NA,NA,NA
11/1/21,41.38,NA,NA,NA
12/1/21,41.87,NA,NA,NA
1/1/22,41.84,NA,NA,NA
2/1/22,42.22,NA,NA,NA
3/1/22,42.2,NA,NA,NA
4/1/22,41.8,NA,NA,NA
5/1/22,41.74,NA,NA,NA
6/1/22,41.73,NA,NA,NA
7/1/22,41.93,NA,NA,NA
8/1/22,41.96,NA,NA,NA
9/1/22,41.9,NA,NA,NA
10/1/22,42.04,NA,NA,NA
11/1/22,42.24,NA,NA,NA
12/1/22,42.5,NA,NA,NA
1/1/23,42.62,NA,NA,NA
2/1/23,42.55,NA,NA,NA
3/1/23,42.62,NA,NA,NA
4/1/23,42.76,NA,NA,NA
5/1/23,42.95,NA,NA,NA
6/1/23,42.92,NA,NA,NA
7/1/23,42.73,NA,NA,NA
8/1/23,42.78,NA,NA,NA
9/1/23,42.45,NA,NA,NA
10/1/23,41.94,NA,NA,NA
11/1/23,41.47,NA,NA,NA
12/1/23,40.8,NA,NA,NA
1/1/24,40.31,NA,NA,NA
2/1/24,39.76,NA,NA,NA
3/1/24,38.74,NA,NA,NA
4/1/24,37.94,NA,NA,NA
5/1/24,36.92,NA,NA,NA
6/1/24,36.08,NA,NA,NA
7/1/24,35.09,NA,NA,NA
8/1/24,33.9,NA,NA,NA
9/1/24,32.82,NA,NA,NA
10/1/24,31.85,NA,NA,NA
11/1/24,30.87,NA,NA,NA
12/1/24,29.98,NA,NA,NA
1/1/25,29.15,NA,NA,NA
2/1/25,28.2,NA,NA,NA
3/1/25,27.69,NA,NA,NA
4/1/25,27.04,NA,NA,NA
5/1/25,26.45,NA,NA,NA
6/1/25,25.85,NA,NA,NA
7/1/25,25.33,NA,NA,NA
8/1/25,24.77,NA,NA,NA
9/1/25,24.37,NA,NA,NA
10/1/25,23.93,NA,NA,NA
11/1/25,NA,23.48,22.98,23.98
12/1/25,NA,23.03,22.08,23.98
1/1/26,NA,22.58,21.11,24.06
2/1/26,NA,22.13,20.07,24.19
3/1/26,NA,21.69,18.98,24.39
4/1/26,NA,21.24,17.84,24.64
5/1/26,NA,20.79,16.64,24.94
6/1/26,NA,20.34,15.4,25.28
7/1/26,NA,19.89,14.11,25.68
8/1/26,NA,19.44,12.78,26.11
9/1/26,NA,19,11.4,26.59
10/1/26,NA,18.55,9.99,27.1
