Date,data,median,LB,UB
1/1/20,26.21,26.2,26.02,26.38
2/1/20,26.74,26.68,26.56,26.81
3/1/20,27.39,27.44,27.3,27.57
4/1/20,28.37,28.54,28.42,28.66
5/1/20,30.02,29.82,29.69,29.94
6/1/20,31.05,31.07,30.95,31.2
7/1/20,32.15,32.2,32.07,32.32
8/1/20,33.13,33.12,33,33.25
9/1/20,33.89,33.82,33.7,33.95
10/1/20,34.38,34.38,34.25,34.51
11/1/20,34.92,34.96,34.84,35.08
12/1/20,35.58,35.65,35.52,35.78
1/1/21,36.61,36.49,36.37,36.61
2/1/21,37.27,37.39,37.26,37.52
3/1/21,38.21,38.2,38.08,38.32
4/1/21,38.96,38.75,38.62,38.88
5/1/21,38.8,38.99,38.87,39.11
6/1/21,39.19,39.15,39.03,39.28
7/1/21,39.47,39.44,39.32,39.56
8/1/21,39.81,39.87,39.75,40
9/1/21,40.41,40.41,40.28,40.53
10/1/21,40.99,40.95,40.82,41.07
11/1/21,41.38,41.42,41.29,41.55
12/1/21,41.87,41.77,41.65,41.89
1/1/22,41.84,42.01,41.88,42.14
2/1/22,42.22,42.13,42.01,42.25
3/1/22,42.2,42.1,41.97,42.23
4/1/22,41.8,41.91,41.79,42.03
5/1/22,41.74,41.74,41.61,41.88
6/1/22,41.73,41.77,41.65,41.89
7/1/22,41.93,41.87,41.74,42
8/1/22,41.96,41.91,41.79,42.03
9/1/22,41.9,41.96,41.83,42.09
10/1/22,42.04,42.06,41.94,42.19
11/1/22,42.24,42.25,42.13,42.38
12/1/22,42.5,42.46,42.34,42.59
1/1/23,42.62,42.57,42.45,42.69
2/1/23,42.55,42.59,42.46,42.72
3/1/23,42.62,42.66,42.54,42.78
4/1/23,42.76,42.78,42.65,42.91
5/1/23,42.95,42.87,42.75,42.99
6/1/23,42.92,42.9,42.77,43.03
7/1/23,42.73,42.86,42.74,42.97
8/1/23,42.78,42.7,42.57,42.84
9/1/23,42.45,42.41,42.29,42.53
10/1/23,41.94,41.98,41.85,42.11
11/1/23,41.47,41.43,41.31,41.55
12/1/23,40.8,40.87,40.75,41
1/1/24,40.31,40.32,40.2,40.44
2/1/24,39.76,39.64,39.52,39.77
3/1/24,38.74,38.81,38.69,38.94
4/1/24,37.94,37.91,37.79,38.03
5/1/24,36.92,36.98,36.85,37.11
6/1/24,36.08,36.04,35.92,36.16
7/1/24,35.09,35.03,34.9,35.16
8/1/24,33.9,33.94,33.82,34.06
9/1/24,32.82,32.84,32.71,32.97
10/1/24,31.85,31.83,31.71,31.95
11/1/24,30.87,30.88,30.75,31.01
12/1/24,29.98,29.97,29.85,30.09
1/1/25,29.15,29.1,28.97,29.23
2/1/25,28.2,28.31,28.19,28.43
3/1/25,27.69,27.63,27.5,27.75
4/1/25,27.04,27.03,26.91,27.16
5/1/25,26.45,26.45,26.33,26.57
6/1/25,25.85,25.86,25.74,25.99
7/1/25,25.33,25.31,25.19,25.43
8/1/25,24.77,24.8,24.67,24.93
9/1/25,24.37,24.35,24.22,24.48
10/1/25,23.93,23.93,23.75,24.11
11/1/25,NA,23.52,23.09,23.94
12/1/25,NA,23.1,22.39,23.82
1/1/26,NA,22.69,21.68,23.7
2/1/26,NA,22.28,20.97,23.58
3/1/26,NA,21.86,20.26,23.47
4/1/26,NA,21.45,19.55,23.35
5/1/26,NA,21.04,18.84,23.24
6/1/26,NA,20.62,18.12,23.12
7/1/26,NA,20.21,17.41,23.01
8/1/26,NA,19.8,16.7,22.9
9/1/26,NA,19.38,15.99,22.78
10/1/26,NA,18.97,15.27,22.67
