Date,data,median,LB,UB
1/1/20,26.21,26,25.3,26.71
2/1/20,26.74,26.97,26.36,27.68
3/1/20,27.39,27.94,27.29,28.62
4/1/20,28.37,28.91,28.26,29.57
5/1/20,30.02,29.89,29.19,30.56
6/1/20,31.05,30.86,30.19,31.44
7/1/20,32.15,31.83,31.2,32.45
8/1/20,33.13,32.8,32.13,33.42
9/1/20,33.89,33.59,32.93,34.23
10/1/20,34.38,34.38,33.71,35.04
11/1/20,34.92,35.08,34.4,35.75
12/1/20,35.58,35.79,35.12,36.47
1/1/21,36.61,36.5,35.88,37.15
2/1/21,37.27,37.21,36.51,37.87
3/1/21,38.21,37.91,37.27,38.55
4/1/21,38.96,38.62,37.97,39.28
5/1/21,38.8,38.99,38.35,39.65
6/1/21,39.19,39.37,38.67,40.01
7/1/21,39.47,39.74,39.1,40.44
8/1/21,39.81,40.12,39.44,40.79
9/1/21,40.41,40.49,39.83,41.17
10/1/21,40.99,40.87,40.22,41.61
11/1/21,41.38,41.24,40.54,41.84
12/1/21,41.87,41.49,40.79,42.14
1/1/22,41.84,41.74,41.08,42.43
2/1/22,42.22,41.8,41.16,42.47
3/1/22,42.2,41.86,41.22,42.51
4/1/22,41.8,41.93,41.29,42.58
5/1/22,41.74,41.99,41.3,42.68
6/1/22,41.73,42.05,41.35,42.69
7/1/22,41.93,42.11,41.47,42.71
8/1/22,41.96,42.17,41.48,42.82
9/1/22,41.9,42.23,41.52,42.91
10/1/22,42.04,42.29,41.61,42.95
11/1/22,42.24,42.35,41.66,43.07
12/1/22,42.5,42.41,41.77,43.03
1/1/23,42.62,42.47,41.81,43.16
2/1/23,42.55,42.53,41.88,43.2
3/1/23,42.62,42.59,41.89,43.24
4/1/23,42.76,42.65,41.97,43.32
5/1/23,42.95,42.71,42.01,43.37
6/1/23,42.92,42.77,42.11,43.46
7/1/23,42.73,42.83,42.15,43.48
8/1/23,42.78,42.67,41.95,43.34
9/1/23,42.45,42.5,41.86,43.08
10/1/23,41.94,41.96,41.26,42.58
11/1/23,41.47,41.42,40.72,42.03
12/1/23,40.8,40.88,40.23,41.57
1/1/24,40.31,40.33,39.7,40.95
2/1/24,39.76,39.39,38.71,40.05
3/1/24,38.74,38.44,37.8,39.13
4/1/24,37.94,37.5,36.8,38.19
5/1/24,36.92,36.55,35.95,37.17
6/1/24,36.08,35.61,34.93,36.31
7/1/24,35.09,34.66,34,35.32
8/1/24,33.9,33.72,33.04,34.45
9/1/24,32.82,32.95,32.31,33.59
10/1/24,31.85,32.17,31.49,32.85
11/1/24,30.87,31.4,30.71,32.03
12/1/24,29.98,30.62,29.95,31.27
1/1/25,29.15,29.85,29.16,30.53
2/1/25,28.2,29.07,28.4,29.76
3/1/25,27.69,28.3,27.63,28.98
4/1/25,27.04,27.52,26.88,28.14
5/1/25,26.45,26.75,26.06,27.41
6/1/25,25.85,25.98,25.25,26.61
7/1/25,25.33,25.2,24.57,25.86
8/1/25,24.77,24.43,23.74,25.1
9/1/25,24.37,23.65,23.02,24.32
10/1/25,23.93,22.88,22.24,23.56
11/1/25,NA,22.1,21.43,22.73
12/1/25,NA,21.33,20.66,22.02
1/1/26,NA,20.56,19.8,21.38
2/1/26,NA,19.78,18.94,20.73
3/1/26,NA,19.01,17.87,20.14
4/1/26,NA,18.23,16.85,19.58
5/1/26,NA,17.46,16.03,19.18
6/1/26,NA,16.68,14.85,18.63
7/1/26,NA,15.91,13.88,18.23
8/1/26,NA,15.14,12.56,17.78
9/1/26,NA,14.36,11.35,17.43
10/1/26,NA,13.59,10.23,16.95
