Date,data,median,LB,UB
1/1/20,14.24,NA,NA,NA
2/1/20,14.41,NA,NA,NA
3/1/20,14.7,NA,NA,NA
4/1/20,15.15,NA,NA,NA
5/1/20,15.78,NA,NA,NA
6/1/20,16.23,NA,NA,NA
7/1/20,16.87,NA,NA,NA
8/1/20,17.64,NA,NA,NA
9/1/20,17.99,NA,NA,NA
10/1/20,18.43,NA,NA,NA
11/1/20,18.82,NA,NA,NA
12/1/20,19.18,NA,NA,NA
1/1/21,19.82,NA,NA,NA
2/1/21,20.22,NA,NA,NA
3/1/21,20.7,NA,NA,NA
4/1/21,21.15,NA,NA,NA
5/1/21,21.47,NA,NA,NA
6/1/21,21.87,NA,NA,NA
7/1/21,22.17,NA,NA,NA
8/1/21,22.3,NA,NA,NA
9/1/21,22.69,NA,NA,NA
10/1/21,23.01,NA,NA,NA
11/1/21,23.25,NA,NA,NA
12/1/21,23.45,NA,NA,NA
1/1/22,23.49,NA,NA,NA
2/1/22,23.75,NA,NA,NA
3/1/22,23.78,NA,NA,NA
4/1/22,23.67,NA,NA,NA
5/1/22,23.59,NA,NA,NA
6/1/22,23.49,NA,NA,NA
7/1/22,23.57,NA,NA,NA
8/1/22,23.55,NA,NA,NA
9/1/22,23.74,NA,NA,NA
10/1/22,23.81,NA,NA,NA
11/1/22,24.02,NA,NA,NA
12/1/22,24.48,NA,NA,NA
1/1/23,24.76,NA,NA,NA
2/1/23,24.85,NA,NA,NA
3/1/23,25.25,NA,NA,NA
4/1/23,25.66,NA,NA,NA
5/1/23,26.01,NA,NA,NA
6/1/23,26.24,NA,NA,NA
7/1/23,26.65,NA,NA,NA
8/1/23,26.91,NA,NA,NA
9/1/23,26.87,NA,NA,NA
10/1/23,26.99,NA,NA,NA
11/1/23,27,NA,NA,NA
12/1/23,26.83,NA,NA,NA
1/1/24,26.7,NA,NA,NA
2/1/24,26.69,NA,NA,NA
3/1/24,26.43,NA,NA,NA
4/1/24,26.09,NA,NA,NA
5/1/24,25.75,NA,NA,NA
6/1/24,25.59,NA,NA,NA
7/1/24,24.95,NA,NA,NA
8/1/24,24.28,NA,NA,NA
9/1/24,23.78,NA,NA,NA
10/1/24,23.35,NA,NA,NA
11/1/24,23.03,NA,NA,NA
12/1/24,22.8,NA,NA,NA
1/1/25,22.71,NA,NA,NA
2/1/25,22.62,NA,NA,NA
3/1/25,22.66,NA,NA,NA
4/1/25,22.68,NA,NA,NA
5/1/25,22.55,NA,NA,NA
6/1/25,22.3,NA,NA,NA
7/1/25,22.04,NA,NA,NA
8/1/25,22.07,NA,NA,NA
9/1/25,21.96,NA,NA,NA
10/1/25,21.68,NA,NA,NA
11/1/25,NA,21.47,21.15,21.78
12/1/25,NA,21.25,20.64,21.86
1/1/26,NA,21.04,20.09,21.99
2/1/26,NA,20.83,19.5,22.16
3/1/26,NA,20.61,18.87,22.36
4/1/26,NA,20.4,18.2,22.6
5/1/26,NA,20.19,17.5,22.87
6/1/26,NA,19.97,16.77,23.18
7/1/26,NA,19.76,16.01,23.51
8/1/26,NA,19.55,15.22,23.87
9/1/26,NA,19.33,14.41,24.26
10/1/26,NA,19.12,13.57,24.67
