Date,data,median,LB,UB
1/1/20,14.24,14.22,14.1,14.35
2/1/20,14.41,14.41,14.32,14.5
3/1/20,14.7,14.72,14.62,14.81
4/1/20,15.15,15.17,15.09,15.25
5/1/20,15.78,15.71,15.62,15.79
6/1/20,16.23,16.28,16.2,16.37
7/1/20,16.87,16.91,16.83,17
8/1/20,17.64,17.54,17.45,17.62
9/1/20,17.99,18.04,17.95,18.12
10/1/20,18.43,18.42,18.33,18.51
11/1/20,18.82,18.81,18.73,18.89
12/1/20,19.18,19.25,19.16,19.34
1/1/21,19.82,19.74,19.66,19.83
2/1/21,20.22,20.25,20.16,20.34
3/1/21,20.7,20.7,20.62,20.79
4/1/21,21.15,21.12,21.03,21.21
5/1/21,21.47,21.52,21.43,21.6
6/1/21,21.87,21.85,21.76,21.94
7/1/21,22.17,22.11,22.03,22.19
8/1/21,22.3,22.38,22.29,22.47
9/1/21,22.69,22.68,22.6,22.77
10/1/21,23.01,22.98,22.9,23.07
11/1/21,23.25,23.24,23.15,23.33
12/1/21,23.45,23.43,23.35,23.51
1/1/22,23.49,23.57,23.48,23.66
2/1/22,23.75,23.7,23.62,23.78
3/1/22,23.78,23.76,23.67,23.85
4/1/22,23.67,23.7,23.61,23.78
5/1/22,23.59,23.58,23.49,23.67
6/1/22,23.49,23.52,23.44,23.61
7/1/22,23.57,23.53,23.44,23.62
8/1/22,23.55,23.59,23.51,23.67
9/1/22,23.74,23.69,23.6,23.77
10/1/22,23.81,23.83,23.75,23.92
11/1/22,24.02,24.09,24,24.17
12/1/22,24.48,24.43,24.34,24.51
1/1/23,24.76,24.71,24.62,24.79
2/1/23,24.85,24.94,24.85,25.03
3/1/23,25.25,25.25,25.17,25.33
4/1/23,25.66,25.63,25.54,25.72
5/1/23,26.01,25.98,25.9,26.07
6/1/23,26.24,26.31,26.22,26.4
7/1/23,26.65,26.62,26.54,26.7
8/1/23,26.91,26.85,26.76,26.94
9/1/23,26.87,26.96,26.88,27.04
10/1/23,26.99,26.98,26.89,27.07
11/1/23,27,26.94,26.85,27.02
12/1/23,26.83,26.87,26.78,26.95
1/1/24,26.7,26.76,26.68,26.85
2/1/24,26.69,26.61,26.52,26.69
3/1/24,26.43,26.39,26.31,26.48
4/1/24,26.09,26.14,26.06,26.22
5/1/24,25.75,25.84,25.75,25.93
6/1/24,25.59,25.45,25.37,25.53
7/1/24,24.95,24.95,24.86,25.04
8/1/24,24.28,24.35,24.27,24.43
9/1/24,23.78,23.77,23.68,23.86
10/1/24,23.35,23.34,23.25,23.42
11/1/24,23.03,23.03,22.94,23.12
12/1/24,22.8,22.81,22.73,22.89
1/1/25,22.71,22.69,22.6,22.78
2/1/25,22.62,22.65,22.57,22.74
3/1/25,22.66,22.67,22.58,22.75
4/1/25,22.68,22.66,22.57,22.74
5/1/25,22.55,22.52,22.43,22.61
6/1/25,22.3,22.29,22.21,22.38
7/1/25,22.04,22.13,22.05,22.22
8/1/25,22.07,22.04,21.95,22.13
9/1/25,21.96,21.91,21.82,22
10/1/25,21.68,21.71,21.58,21.83
11/1/25,NA,21.46,21.16,21.77
12/1/25,NA,21.22,20.7,21.74
1/1/26,NA,20.98,20.24,21.71
2/1/26,NA,20.73,19.77,21.69
3/1/26,NA,20.49,19.31,21.66
4/1/26,NA,20.24,18.84,21.64
5/1/26,NA,20,18.38,21.62
6/1/26,NA,19.75,17.91,21.6
7/1/26,NA,19.51,17.45,21.57
8/1/26,NA,19.27,16.98,21.55
9/1/26,NA,19.02,16.52,21.53
10/1/26,NA,18.78,16.05,21.5
