Date,data,median,LB,UB
1/1/20,14.24,14.1,13.38,14.84
2/1/20,14.41,14.56,13.82,15.31
3/1/20,14.7,15.03,14.32,15.78
4/1/20,15.15,15.49,14.75,16.19
5/1/20,15.78,15.96,15.24,16.68
6/1/20,16.23,16.42,15.71,17.15
7/1/20,16.87,16.89,16.17,17.64
8/1/20,17.64,17.35,16.61,18.04
9/1/20,17.99,17.81,17.06,18.54
10/1/20,18.43,18.28,17.59,18.98
11/1/20,18.82,18.74,18,19.47
12/1/20,19.18,19.21,18.51,19.93
1/1/21,19.82,19.67,18.9,20.42
2/1/21,20.22,20.13,19.43,20.85
3/1/21,20.7,20.6,19.79,21.32
4/1/21,21.15,21.06,20.32,21.79
5/1/21,21.47,21.47,20.72,22.21
6/1/21,21.87,21.89,21.16,22.63
7/1/21,22.17,22.3,21.58,23.02
8/1/21,22.3,22.44,21.7,23.11
9/1/21,22.69,22.58,21.84,23.29
10/1/21,23.01,22.72,22,23.45
11/1/21,23.25,22.86,22.12,23.62
12/1/21,23.45,23,22.27,23.79
1/1/22,23.49,23.15,22.44,23.86
2/1/22,23.75,23.29,22.55,24
3/1/22,23.78,23.43,22.78,24.19
4/1/22,23.67,23.57,22.86,24.32
5/1/22,23.59,23.71,22.99,24.43
6/1/22,23.49,23.85,23.1,24.62
7/1/22,23.57,23.99,23.29,24.71
8/1/22,23.55,24.13,23.42,24.91
9/1/22,23.74,24.27,23.61,24.97
10/1/22,23.81,24.42,23.65,25.17
11/1/22,24.02,24.61,23.88,25.35
12/1/22,24.48,24.8,24.1,25.5
1/1/23,24.76,25,24.26,25.73
2/1/23,24.85,25.19,24.5,25.9
3/1/23,25.25,25.38,24.63,26.1
4/1/23,25.66,25.57,24.84,26.35
5/1/23,26.01,25.77,25.06,26.51
6/1/23,26.24,25.96,25.18,26.69
7/1/23,26.65,26.15,25.44,26.87
8/1/23,26.91,26.35,25.61,27.07
9/1/23,26.87,26.54,25.85,27.31
10/1/23,26.99,26.73,26.02,27.47
11/1/23,27,26.93,26.22,27.62
12/1/23,26.83,26.67,25.93,27.46
1/1/24,26.7,26.42,25.71,27.06
2/1/24,26.69,26.17,25.5,26.9
3/1/24,26.43,25.92,25.17,26.65
4/1/24,26.09,25.67,24.93,26.36
5/1/24,25.75,25.42,24.73,26.14
6/1/24,25.59,25.16,24.43,25.87
7/1/24,24.95,24.91,24.2,25.64
8/1/24,24.28,24.66,23.9,25.42
9/1/24,23.78,24.41,23.7,25.09
10/1/24,23.35,24.16,23.41,24.89
11/1/24,23.03,23.91,23.19,24.62
12/1/24,22.8,23.65,22.91,24.36
1/1/25,22.71,23.4,22.66,24.1
2/1/25,22.62,23.15,22.37,23.83
3/1/25,22.66,22.9,22.19,23.64
4/1/25,22.68,22.65,21.88,23.38
5/1/25,22.55,22.4,21.61,23.11
6/1/25,22.3,22.15,21.48,22.87
7/1/25,22.04,21.89,21.15,22.63
8/1/25,22.07,21.64,20.91,22.4
9/1/25,21.96,21.39,20.64,22.11
10/1/25,21.68,21.14,20.42,21.86
11/1/25,NA,20.89,20.17,21.63
12/1/25,NA,20.64,19.9,21.42
1/1/26,NA,20.39,19.65,21.13
2/1/26,NA,20.14,19.36,20.88
3/1/26,NA,19.88,19.09,20.67
4/1/26,NA,19.63,18.8,20.61
5/1/26,NA,19.38,18.48,20.33
6/1/26,NA,19.13,18.18,20.07
7/1/26,NA,18.88,17.72,19.98
8/1/26,NA,18.63,17.22,19.9
9/1/26,NA,18.38,16.98,19.7
10/1/26,NA,18.12,16.56,19.64
